Time,leftPos,leftSpeed,rightPos,rightSpeed
20,0,0,0,0
000009.4,912018.0,2350.0,-921140.0,-2367.0,
00009.42,912510.0,2353.0,-921606.0,-2388.0,
00009.44,912997.0,2355.0,-922073.0,-2400.0,
00009.46,913491.0,2356.0,-922537.0,-2399.0,
00009.48,913885.0,2357.0,-922993.0,-2383.0,
000009.5,914373.0,2356.0,-923468.0,-2356.0,
00009.52,914854.0,2356.0,-923966.0,-2333.0,
00009.54,915348.0,2354.0,-924478.0,-2330.0,
00009.56,915837.0,2351.0,-924949.0,-2353.0,
00009.58,916328.0,2349.0,-925411.0,-2381.0,
000009.6,916714.0,2348.0,-925883.0,-2403.0,
00009.62,917206.0,2347.0,-926352.0,-2412.0,
00009.64,917693.0,2347.0,-926812.0,-2408.0,
00009.66,918185.0,2347.0,-927272.0,-2386.0,
00009.68,918673.0,2348.0,-927758.0,-2358.0,
000009.7,919163.0,2349.0,-928267.0,-2339.0,
00009.72,919655.0,2349.0,-928753.0,-2343.0,
00009.74,920047.0,2350.0,-929220.0,-2366.0,
00009.76,920543.0,2351.0,-929689.0,-2388.0,
00009.78,921028.0,2353.0,-930156.0,-2404.0,
000009.8,921522.0,2354.0,-930621.0,-2406.0,
00009.82,921913.0,2356.0,-931078.0,-2395.0,
00009.84,922503.0,2357.0,-931539.0,-2369.0,
00009.86,922894.0,2357.0,-932037.0,-2343.0,
00009.88,923384.0,2356.0,-932540.0,-2331.0,
000009.9,923880.0,2356.0,-933025.0,-2344.0,
00009.92,924368.0,2356.0,-933485.0,-2367.0,
00009.94,924764.0,2356.0,-933951.0,-2389.0,
00009.96,925252.0,2357.0,-934422.0,-2401.0,
00009.98,925743.0,2358.0,-934881.0,-2401.0,
000010.0,926234.0,2358.0,-935342.0,-2383.0,
00010.02,926730.0,2358.0,-935811.0,-2356.0,
00010.04,927211.0,2358.0,-936317.0,-2332.0,
00010.06,927608.0,2357.0,-936820.0,-2331.0,
