Time, L1-AMPERAGE, L2-AMPERAGE,L3-AMPERAGE,L4-AMPERAGE,R1-AMPERAGE,R2-AMPERAGE,R3-AMPERAGE,R4-AMPERAGE, BATTERY
00004.24,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.334902343749999,
00004.26,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.347467285156249,
00004.28,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.341184814453124,
000004.3,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.334902343749999,
00004.32,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.328619873046875,
00004.34,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.32233740234375,
00004.36,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.32233740234375,
00004.38,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.316054931640625,
000004.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.3097724609375,
00004.42,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.303489990234375,
00004.44,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.29720751953125,
00004.46,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.3097724609375,
00004.48,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.316054931640625,
000004.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.328619873046875,
00004.52,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
00004.54,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
00004.56,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.328619873046875,
00004.58,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
000004.6,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.328619873046875,
00004.62,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
00004.64,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
00004.64,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
00004.66,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.328619873046875,
00004.68,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.334902343749999,
